song_id,title,duration,author,featuring,play_count,release_date,album_name
1,"Broken Whiskey Glass",00:03:54,"Post Malone",NULL,12000000,2016,Stoney
2,"Big Lie",00:03:28,"Post Malone",NULL,16000000,2016,Stoney
3,"Deja Vu",00:03:55,"Post Malone","Justin Bieber",79000000,2016,Stoney
4,"No Option",00:03:00,"Post Malone",NULL,45000000,2016,Stoney
5,Cold,00:04:29,"Post Malone",NULL,10000000,2016,Stoney
6,"White Iverson",00:04:17,"Post Malone",NULL,1400000000,2016,Stoney
7,"I Fall Apart",00:03:44,"Post Malone",NULL,548000000,2016,Stoney
8,Patient,00:03:15,"Post Malone",NULL,24000000,2016,Stoney
9,"Go Flex",00:03:00,"Post Malone",NULL,591000000,2016,Stoney
10,Feel,00:03:18,"Post Malone",Kehlani,86000000,2016,Stoney
11,"Too Young",00:03:58,"Post Malone",NULL,224000000,2016,Stoney
12,Congratulations,00:03:41,"Post Malone",Quavo,2000000000,2016,Stoney
13,"Up There",00:03:15,"Post Malone",NULL,14000000,2016,Stoney
14,"Yours Truly, Austin Post",00:03:40,"Post Malone",NULL,10000000,2016,Stoney
15,Leave,00:05:25,"Post Malone",NULL,55000000,2016,Stoney
16,"Hit This Hard",00:04:10,"Post Malone",NULL,29000000,2016,Stoney
17,"Money Made Me Do It",00:03:45,"Post Malone",NULL,8100000,2016,Stoney
18,"Feeling Whitney",00:04:18,"Post Malone",NULL,52000000,2016,Stoney
32,"Don't Understand",00:03:04,"Post Malone",NULL,8500000,2023,Austin
33,"Something Real",00:03:26,"Post Malone",NULL,14000000,2023,Austin
34,Chemical,00:03:04,"Post Malone",NULL,186000000,2023,Austin
35,Novacandy,00:03:18,"Post Malone",NULL,10000000,2023,Austin
36,Mourning,00:02:28,"Post Malone",NULL,78000000,2023,Austin
37,"Too Cool To Die",00:03:25,"Post Malone",NULL,26000000,2023,Austin
38,"Sign Me Up",00:03:19,"Post Malone",NULL,10000000,2023,Austin
39,Socialite,00:03:20,"Post Malone",NULL,9100000,2023,Austin
40,Overdrive,00:02:28,"Post Malone",NULL,40000000,2023,Austin
41,Speedometer,00:02:43,"Post Malone",NULL,8000000,2023,Austin
42,"Hold My Breath",00:03:29,"Post Malone",NULL,5200000,2023,Austin
43,"Enough Is Enough",00:02:46,"Post Malone",NULL,16000000,2023,Austin
44,"Texas Tea",00:02:20,"Post Malone",NULL,6300000,2023,Austin
45,"Buyer Beware",00:02:53,"Post Malone",NULL,5900000,2023,Austin
46,Landmine,00:03:05,"Post Malone",NULL,8700000,2023,Austin
47,"Green Thumb",00:02:40,"Post Malone",NULL,3900000,2023,Austin
48,"Laugh It Off",00:04:07,"Post Malone",NULL,12000000,2023,Austin
70,Paranoid,00:03:42,"Post Malone",NULL,50000000,2018,"Beerbongs & Bentleys"
71,"Spoil My Night",00:03:15,"Post Malone","Swae Lee",23000000,2018,"Beerbongs & Bentleys"
72,"Rich & Sad",00:03:27,"Post Malone",NULL,41000000,2018,"Beerbongs & Bentleys"
73,"Zack and Codeine",00:03:25,"Post Malone",NULL,18000000,2018,"Beerbongs & Bentleys"
74,"Takin' Shots",00:03:37,"Post Malone",NULL,22000000,2018,"Beerbongs & Bentleys"
75,rockstar,00:03:39,"Post Malone","21 Savage",2500000000,2018,"Beerbongs & Bentleys"
76,"Over Now",00:04:07,"Post Malone",NULL,49000000,2018,"Beerbongs & Bentleys"
77,Psycho,00:03:42,"Post Malone","Ty Dolla $ign",1600000000,2018,"Beerbongs & Bentleys"
78,"Better Now",00:03:52,"Post Malone",NULL,1000000000,2018,"Beerbongs & Bentleys"
79,"Ball for Me",00:03:27,"Post Malone","Nicki Minaj",39000000,2018,"Beerbongs & Bentleys"
80,Otherside,00:03:49,"Post Malone",NULL,24000000,2018,"Beerbongs & Bentleys"
81,Stay,00:03:25,"Post Malone",NULL,62000000,2018,"Beerbongs & Bentleys"
82,"Blame It on Me",00:04:22,"Post Malone",NULL,21000000,2018,"Beerbongs & Bentleys"
83,"Same Bitches",00:03:33,"Post Malone","G-Eazy & YG",16000000,2018,"Beerbongs & Bentleys"
84,"Jonestown (Interlude)",00:01:53,"Post Malone",NULL,4500000,2018,"Beerbongs & Bentleys"
85,"92 Explorer",00:03:32,"Post Malone",NULL,42000000,2018,"Beerbongs & Bentleys"
86,"Candy Paint",00:03:48,"Post Malone",NULL,196000000,2018,"Beerbongs & Bentleys"
87,"Sugar Wraith",00:03:32,"Post Malone",NULL,19000000,2018,"Beerbongs & Bentleys"
106,"Hollywood's Bleeding",00:02:37,"Post Malone",NULL,168000000,2019,"Hollywood's Bleeding"
107,Saint-Tropez,00:02:31,"Post Malone",NULL,185000000,2019,"Hollywood's Bleeding"
108,Enemies,00:03:17,"Post Malone",DaBaby,51000000,2019,"Hollywood's Bleeding"
109,Allergic,00:02:37,"Post Malone",NULL,21000000,2019,"Hollywood's Bleeding"
110,"A Thousand Bad Times",00:03:42,"Post Malone",NULL,56000000,2019,"Hollywood's Bleeding"
